Distancia(cm), TempoExp1(s), TempoExp2(s), TempoExp3(s),std-erro
1.5,0.168,0.12125,0.159,0.020252914742218114
1.4,0.18025,0.177,0.1855,0.003501983564908452
1.3,0.225,0.23,0.248,0.009877021593352698
1.2,0.2745,0.2565,0.29375,0.015210102636807625
1.1,0.29225,0.2945,0.2965,0.0017360555546666282
1.0,0.30975,0.30975,0.31025,0.00023570226039551604
0.9,0.3365,0.34525,0.3535,0.006941221474319583
0.8,0.372,0.38,0.39,0.007363574011458181
0.7,0.424,0.43425,0.425,0.00461428939996906
0.6,0.5,0.47,0.49575,0.013254454177956782
0.5,0.585,0.48625,0.5275,0.04049605604939269
0.4,0.66125,0.63025,0.64325,0.012710450643291757
0.3,0.76375,0.75,0.778,0.011431559629182528
0.2,0.775,0.78875,0.80375,0.011740835669671119
0.1,0.7875,0.825,0.6825,0.06031169040907408
